CurrencyCodes;;
UAH;980;Українська гривня
USD;840;Долар США
EUR;978;Євро
GBP;826;Фунт стерлінгів Велико­британії
JPY;392;Японська єна
CHF;756;Швейцарський франк
CNY;156;Китайський юань женьмiньбi
RUB;643;Російський рубль
AED;784;Дирхам ОАЕ
AFN;971;Афганський афгані
ALL;8;Албанський лек
AMD;51;Вiрменський драм
AOA;973;Ангольська кванза
ARS;32;Аргентинський песо
AUD;36;Австралійський долар
AZN;944;Азербайджанський манат
BDT;50;Бангладеська така
BGN;975;Болгарський лев
BHD;48;Бахрейнський динар
BIF;108;Бурундійський франк
BND;96;Брунейський долар
BOB;68;Болівійський болівіано
BRL;986;Бразильський реал
BWP;72;Ботсванська пула
BYN;933;Білоруський рубль
CAD;124;Канадський долар
CDF;976;Конголезький франк
CLP;152;Чилійське песо
COP;170;Колумбійське песо
CRC;188;Костаріканський колон
CUP;192;Кубинське песо
CZK;203;Чеська крона
DJF;262;Джибутійський франк
DKK;208;Данська крона
DZD;12;Алжирський динар
EGP;818;Єгипетський фунт
ETB;230;Ефіопський бир
GEL;981;Грузинський ларі
GHS;936;Ганський седі
GMD;270;Гамбійський даласі
GNF;324;Гвінейський франк
HKD;344;Гонконгівський долар
HRK;191;Хорватська куна
HUF;348;Угорський форинт
IDR;360;Індонезійська рупія
ILS;376;Ізраїльський шекель
INR;356;Індійська рупія
IQD;368;Іракський динар
IRR;364;Іранський ріал
ISK;352;Ісландська крона
JOD;400;Іорданський динар
KES;404;Кенійський шилінг
KGS;417;Киргизький сом
KHR;116;Камбоджийський ріел
KPW;408;Північно-корейська вона (КНДР)
KRW;410;Піденно-корейська вона (Корея)
KWD;414;Кувейтський динар
KZT;398;Казахстанський тенге
LAK;418;Лаоський кіп
LBP;422;Ліванський фунт
LKR;144;Шрі-ланкійська рупія
LYD;434;Лівійський динар
MAD;504;Мароканський дирхам
MDL;498;Молдовський лей
MGA;969;Малагасійський аріарі
MKD;807;Македонський денар
MNT;496;Монгольський тугрик
MRO;478;Мавританська уґія
MUR;480;Маврикійська рупія
MVR;462;Мальдівська руфія
MWK;454;Малавійська квача
MXN;484;Мексиканське песо
MYR;458;Малайзійський рингіт
MZN;943;Мозамбікський метикал
NAD;516;Намібійський долар
NGN;566;Нігерійська найра
NIO;558;Нікараґуанська кордоба
NOK;578;Норвезька крона
NPR;524;Непальська рупія
NZD;554;Ново­зеландський долар
OMR;512;Оманський ріал
PEN;604;Перуанський соль
PHP;608;Філіппінське песо
PKR;586;Пакістанська рупія
PLN;985;Польський злотий
PYG;600;Парагвайський ґуарані
QAR;634;Катарський ріал
RON;946;Новий румунський лей
RSD;941;Сербський динар
SAR;682;Саудівський ріал
SCR;690;Сейшельська рупія
SDG;938;Суданський фунт
SEK;752;Шведська крона
SGD;702;Сінгапурський долар
SLL;694;Сьєрра-леонський леоне
SOS;706;Сомалійський шилінг
SRD;968;Суринамський долар
SYP;760;Сирійський фунт
SZL;748;Свазілендський ліланґені
THB;764;Таїландський бат
TJS;972;Таджицький сомоні
TMT;795;Туркменський манат
TND;788;Туніський динар
TRY;949;Нова турецька ліра
TWD;901;Тайванський долар
TZS;834;Танзанійський шилінг
UGX;800;Угандійський шилінг
UYU;858;Уругвайське песо
UZS;860;Узбецький сум
VEF;937;Венесуельський болівар
VND;704;В'єтнамський донг
XAF;950;Франк КФА (Центральн Африка)
XDR;960;СПЗ
XOF;952;Франк КФА (Західна Африка)
YER;886;Єменський ріал
ZAR;710;Південно-африканський ренд
ZMK;894;Замбійська квача
ATS;40;Австрійський шилінг
AZM;31;Азербайджанський манат
BEF;56;Бельгійський франк
BGL;100;Болгарський лев
BYB;112;Білоруський рубль
BYR;974;Білоруський рубль
CSD;891;Сербський динар
CYP;196;Кіпрський фунт
DEM;280;Німецька марка
ECS;218;Еквадорський сукре
EEK;233;Эстонська крона
ESP;724;Испанська песета
FIM;246;Фінська марка
FRF;250;Французський франк
GHC;288;Ганський седі
GRD;300;Грецька драхма
HRD;191;Хорватський динар
IEP;372;Ірландський фунт
ITL;380;Итальянська ліра
LTL;440;Літовський літ
LVL;428;Латвійський лат
MTL;470;Мальтійська ліра
NLG;528;Нідерландський гульден
PLZ;616;Польський злотий
PTE;620;Португальське ескудо
ROL;642;Румунський лей
RUR;810;Російський рубль
SDD;736;Суданський динар
SIT;705;Словенський толар
SKK;703;Словацька крона
TMM;795;Туркменський манат
TRL;792;Турецька ліра
VEB;862;Венесуельський болівар
XEU;954;ЕКЮ
XAU;959;Золото
XAG;961;Срібло
XPT;962;Платина
XPD;964;Паладій
